NumeroContrato,HasDifferences,ValorAquisicao_Internal,ValorAquisicao_Fund,ValorAquisicao_Difference,ValorAquisicao_Diff_Percent
2a4fc030-20f1-4c60-bd2b-2e6d2b7c812b,True,18525.93,18525.78,0.1500000000014552,0.0008096825073030943
2a5736cb-5b30-4d9e-9137-a8a8e5e26314,True,2794132.779999999,2794132.83,-0.05000000121071935,1.7894640037825023e-06
2a774da7-afeb-47ae-86b0-d6126ec1d732,True,43157.600000000006,43157.66,-0.059999999997671694,0.0001390251463996697
2a85cef4-35a8-492f-a6ce-af820d038051,True,2344598.6600000006,2344598.73,-0.06999999936670065,2.9855854850992198e-06
2abb9221-d42d-4729-98e3-1f24148a1ddf,True,101.75,101.59,0.1599999999999966,0.15749581651737038
2abbfec3-1e0e-43e5-a604-c6d4bad5330b,True,1098.88,1103.98,-5.099999999999909,0.46196489066830093
2ac42790-c44d-4da6-8779-10a4fb6d8860,True,27089.35000000001,27089.3,0.05000000001018634,0.0001845747214220609
2ae4f719-67a3-4fb2-8b64-4c1ec431f461,True,358893.2200000001,358945.39,-52.169999999925494,0.014534244331686636
2c84bc28-b5e3-409f-ac94-a0dd5f5b8a05,True,1790.83,1786.35,4.480000000000018,0.25079071850421353
2c85753a-1efc-4dd0-972b-eaa062a5b4ce,True,23592.16999999999,23592.22,-0.05000000001018634,0.00021193427329088292
2d35cc7e-4100-4727-aa68-5e7df6a5d83b,True,61.33,61.46,-0.13000000000000256,0.21151968760169632
2d87a6fc-74dc-4c84-8dac-4bd29a95b862,True,156517.06000000006,156517.0,0.060000000055879354,3.833449405232617e-05
2dd5984a-ccc8-46f4-b3f4-dd72b6ca74e0,True,66379.19,66379.14,0.05000000000291038,7.532486863028112e-05
2e368197-7c68-48f2-a684-62cac4327f21,True,336.03,335.01,1.0199999999999818,0.30446852332765645
2e9c9b37-18ed-46ec-b903-b928cba7608c,True,19143.81,19143.76,0.05000000000291038,0.00026118171144493235
2f5fdb28-4a3b-4b0e-969b-a8f333a8c6b0,True,365.99,366.7,-0.7099999999999795,0.193618761930728
2f6c34ad-dc00-4975-afc8-71aa59be7c65,True,75.0,75.13,-0.12999999999999545,0.1730334087581465
2faffb32-21a1-4598-9dba-24550da1bebe,True,458493.99999999994,458494.05,-0.05000000004656613,1.0905266937829647e-05
2fef30a8-8dd7-49ad-ba56-0237ef3090c8,True,87402.48000000004,87402.42,0.06000000004132744,6.864798485136617e-05
30164936-8a0a-4898-9c22-805be6e6417c,True,229475.53000000003,229475.65,-0.11999999996623956,5.229312999712151e-05
301fa7ca-2e84-4d18-b354-67ee96f4cb35,True,18882.46,18882.78,-0.31999999999970896,0.0016946657218889856
31009bbe-b677-4d48-997a-e72b772d001c,True,550338.5000000005,550338.44,0.06000000052154064,1.0902382272541357e-05
316164bf-aada-4b43-9169-5ad9876d6002,True,481843.18000000017,481843.12,0.060000000172294676,1.2452185718101502e-05
31dfc976-c9eb-496e-a272-f0fd6558a112,True,230498.47000000006,230498.55,-0.07999999992898665,3.4707376653339755e-05
3237fdb9-1e59-4702-a44f-6057fad13bad,True,454900.40000000014,454900.33,0.07000000012340024,1.5387986226213604e-05
328c63d8-c86d-43cb-8040-02968fd1f2a9,True,79950.87000000002,79950.95,-0.0799999999726424,0.00010006135008107146
