NumeroContrato,ValorFace_Internal,ValorAquisicao_Internal,NumCessions,FundAlias,FundUserId,DataReferencia,CodCnpj,NomeFundo,CnpjSacado,NomeSacado,TipoProduto,TaxaCessao,ValorAquisicao_Fund,ValorPresente,ValorFace_Fund,DataAquisicao,DataVencimento,RatingContrato,DiasAtraso,ValorDesembolso,Bandeira,Banco,Agencia,Conta,Prazo,PrazoAtual,Reverse
403a2c11-099c-4451-be59-fae331c58f7c,23902.239999999998,23648.670000000002,10,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,19468242000132,ZOOP TECNOLOGIA  INSTITUICAO DE PAGAMENTO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.16103775962306,23648.67,23873.9318203959,23902.24,2025-05-08,2025-06-03,AA,0,23648.67,Elo,1,208,8630592,18,2,0.0
beadcab4-2132-47a2-8af0-8ee5b4c7f6b4,529331.78,517583.9900000001,32,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,60746948000112,BANCO BRADESCO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.160483295733192,517583.99,524043.584577958,529331.78,2025-04-30,2025-06-25,AA,0,517583.99,Elo,1,208,8630592,38,17,0.0
233eda1a-3a72-446a-9d64-8c4da684dea8,15030.87,14506.359999999999,13,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,191,BANCO DO BRASIL SA,CSC de arranjo de pagamento banco emissor confirmado,0.160887991902535,14506.34,14696.5078152286,15030.87,2025-04-29,2025-07-24,AA,0,14506.34,Mastercard,1,208,8630592,60,38,0.0
8e9e092a-20b2-4b73-9187-e9cb1bf34809,930.6300000000001,898.07,4,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,43180355000112,PEFISA SA CREDITO FINANCIAMENTO E INVESTIMENTO,CSC de arranjo de pagamento banco emissor confirmado,0.161398124110308,898.06,908.2485711834,930.63,2025-05-05,2025-07-29,AA,0,898.06,Mastercard,1,208,8630592,60,41,0.0
15a00047-c6f3-4f9d-b598-74b1b6ecbdb1,86383.95000000001,79138.17,21,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,9516419000175,PICPAY BANK - BANCO MULTIPLO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.163242750681109,79138.16,79710.0548985268,86383.95,2025-05-14,2025-12-08,AA,0,79138.16,Mastercard,1,208,8630592,146,134,0.0
0b8e0165-6263-4565-a6b1-1972dd3e6d57,8652.060000000001,7837.170000000001,9,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,61186680000174,BANCO BMG S.A,CSC de arranjo de pagamento banco emissor confirmado,0.16308652985594,7837.17,7907.9651204639,8652.06,2025-05-09,2025-12-31,AA,0,7837.17,Mastercard,1,208,8630592,165,150,0.0
a01fb67c-a51d-42e9-98b0-822c2841d67f,81.47,75.02,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,31895683000116,BANCO INDUSTRIAL DO BRASIL S/A,CSC de arranjo de pagamento banco emissor confirmado,0.162549981552155,75.02,75.740850826,81.47,2025-05-08,2025-11-19,AA,0,75.02,Visa,1,208,8630592,138,122,0.0
77575c44-a620-4341-b647-e40a7b04c8d7,771.52,706.8100000000001,4,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,5938780000309,COOPER CARD INSTITUICAO DE PAGAMENTO LTDA,CSC de arranjo de pagamento banco emissor confirmado,0.163230698908085,706.81,712.7722585044,771.52,2025-05-12,2025-12-04,AA,0,706.81,Visa,1,208,8630592,146,132,0.0
c1aac35c-6761-4170-8d7f-49cc0001016a,515.98,485.95,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,8357240000150,BANCO CSF S/A,CSC de arranjo de pagamento banco emissor confirmado,0.163118678031415,485.95,489.7528287291,515.98,2025-05-13,2025-10-01,AA,0,485.95,Mastercard,1,208,8630592,100,87,0.0
914dce5d-5971-441d-a7aa-326ceab739b2,126708.83,125209.06,23,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,191,BANCO DO BRASIL SA,CSC de arranjo de pagamento banco emissor confirmado,0.161865205574546,125209.07,126257.025483205,126708.83,2025-05-12,2025-06-09,AA,0,125209.07,Mastercard,1,208,8630592,20,6,0.0
dcfe458e-6511-4749-a62e-29add166c824,7465.37,7109.19,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,4670195000138,CRED - SYSTEM ADMINISTRADORA DE CARTOES DE CREDITO,CSC de arranjo de pagamento banco emissor confirmado,0.162109766737673,7109.19,7185.8911132994,7465.37,2025-05-06,2025-08-29,AA,0,7109.19,Mastercard,1,208,8630592,82,64,0.0
19c94d8f-8b22-40a5-abee-e1c4c72ce6e6,529.92,497.87,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,44128548000197,POMELO INSTITUICAO DE PAGAMENTO LTDA.,CSC de arranjo de pagamento banco emissor confirmado,0.163192788873421,497.87,500.8655760797,529.92,2025-05-16,2025-10-10,AA,0,497.87,Visa,1,208,8630592,103,94,0.0
1d788a94-a146-46cc-9443-47657be5b5b5,1111.0299999999997,1045.5400000000002,7,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,13370835000185,DOCK INSTITUICAO DE PAGAMENTO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.161948286768302,1045.54,1062.4902479885,1111.03,2025-04-22,2025-09-15,AA,0,1045.54,Visa,1,208,8630592,102,75,0.0
b626ab59-4098-46e6-bf98-136869503bab,170763.99999999997,152752.18,12,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,191,BANCO DO BRASIL SA,CSC de arranjo de pagamento banco emissor confirmado,0.163017513429326,152752.18,153946.8598956771,170764.0,2025-05-13,2026-02-03,AA,0,152752.18,Visa,1,208,8630592,186,173,0.0
b44b22ce-dc00-4f2d-a745-065dac139570,99.07,87.66,3,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,191,BANCO DO BRASIL SA,CSC de arranjo de pagamento banco emissor confirmado,0.161305447408079,87.67,88.8220793437,99.07,2025-04-29,2026-02-20,AA,0,87.67,Visa,1,208,8630592,206,184,0.0
e11c6a33-84c3-4f14-926a-7287b203b46e,8082.169999999999,7418.0599999999995,11,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,4814563000174,BANCO AFINZ S.A. BANCO MULTIPLO,CSC de arranjo de pagamento banco emissor confirmado,0.161892287543442,7418.06,7506.9277509791,8082.17,2025-05-02,2025-11-24,AA,0,7418.06,Visa,1,208,8630592,144,124,0.0
85ee1895-30ac-4837-b283-ad239c32d260,3865.09,3779.4100000000003,5,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,92702067000196,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,CSC de arranjo de pagamento banco emissor confirmado,0.160258613093263,3779.42,3828.7842392234,3865.09,2025-04-29,2025-06-24,AA,0,3779.42,Mastercard,1,208,8630592,37,16,0.0
5029ede1-9575-43a5-80a6-b99017e0dcfb,13009.48,12082.56,4,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,2732968000138,FORTBRASIL ADMINISTRADORA DE CARTOES DE CREDITO S/,CSC de arranjo de pagamento banco emissor confirmado,0.162083861850006,12082.56,12234.7589222738,13009.48,2025-04-30,2025-10-23,AA,0,12082.56,Mastercard,1,208,8630592,124,103,0.0
b63ff950-c0d2-4d92-b86a-afc22356111f,913.48,847.81,2,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,44128548000197,POMELO INSTITUICAO DE PAGAMENTO LTDA.,CSC de arranjo de pagamento banco emissor confirmado,0.162303177191765,847.81,848.8226171094,913.48,2025-05-28,2025-11-21,AA,0,847.81,Visa,1,208,8630592,125,123,0.0
aa4cf7ea-be16-4357-96d8-99ca9fb11c66,661.07,638.17,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,16581207000137,DM INSTITUICAO DE PAGAMENTO S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.162509233509319,638.17,643.9157203143,661.07,2025-05-09,2025-08-01,AA,0,638.17,Mastercard,1,208,8630592,59,44,0.0
6bd91664-75a9-47cc-b9a5-871b95509d3a,1341.86,1328.33,7,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,208000100,BRB BANCO DE BRASILIA SA,CSC de arranjo de pagamento banco emissor confirmado,0.161965506119077,1328.34,1329.9234912248,1341.86,2025-05-28,2025-06-23,AA,0,1328.34,Mastercard,1,208,8630592,17,15,0.0
a63df900-2e74-402c-a88a-c59bec290b0f,217361.85000000003,214915.59000000003,32,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,33449007000144,EMPRESA BRASILEIRA DE BENEFICIOS E PAGAMENTOS INST,CSC de arranjo de pagamento banco emissor confirmado,0.16196614985736,214915.6,215685.1109842372,217361.85,2025-05-22,2025-06-18,AA,0,214915.6,Visa,1,208,8630592,18,13,0.0
5174e293-56b0-4117-945c-d42204f5ac49,67846.59000000001,62207.61999999999,26,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,4862600000110,PORTOSEG S/A - CREDITO FINANCIAMENTO E INVESTIMEN,CSC de arranjo de pagamento banco emissor confirmado,0.161567289921319,62207.62,63063.8057239004,67846.59,2025-04-28,2025-11-21,AA,0,62207.62,Visa,1,208,8630592,146,123,0.0
76ee4f26-5ceb-4ae0-a5f4-689e32939624,244.1,213.39,1,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,58160789000128,BANCO SAFRA S A,CSC de arranjo de pagamento banco emissor confirmado,0.161747046723033,213.39,215.4309674703,244.1,2025-05-08,2026-03-30,AA,0,213.39,Visa,1,208,8630592,226,210,0.0
4ee0b1d9-3e52-43bc-b958-f739a8f84a91,1887072.6600000004,1819475.6599999997,83,pi,33581257,2025-05-30,60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CRE,90400888000142,BANCO SANTANDER (BRASIL) S.A.,CSC de arranjo de pagamento banco emissor confirmado,0.162645159029689,1819475.65,1833675.5391028957,1887072.66,2025-05-13,2025-08-07,AA,0,1819475.65,Mastercard,1,208,8630592,61,48,0.0
